Обозначение;Наименование;Описание;КОЛ.
К-4-00.000;Контейнер ТБО-4-К;;1
К-4-01.000;Дно;;1
К-4-01.001;Лист дна;Лист 4х1293х1715  ;1
К-4-01.003;Труба дна;Труба 60х40х3 L=1710 ;2
К-4-01.004;Заглушка;Лист 3х38х55  ;4
К-4-02.000;Боковая стенка - правая;;1
К-4-02.001;Лист боковой стенки - задний;Лист 3х1345х1750  ;1
К-4-02.002;Лист бокоаой стенки - передний;Лист 3х470х670  ;1
К-4-02.003;Труба боковой стенки - верхний;Труба 60х40х3 L=2245 ;1
К-4-02.004;Труба боковой стенки - нижний;Труба 60х40х3 L=1928 ;1
К-4-02.005;Труба боковой стенки - вертикальная верхняя;Труба 60х40х3 L=380 ;2
К-4-02.000-01;Боковая стенка - левая;;1
К-4-02.001;Лист боковой стенки - задний;Лист 3х1345х1750  ;1
К-4-02.002;Лист бокоаой стенки - передний;Лист 3х470х670  ;1
К-4-02.003;Труба боковой стенки - верхний;Труба 60х40х3 L=2245 ;1
К-4-02.004;Труба боковой стенки - нижний;Труба 60х40х3 L=1928 ;1
К-4-02.005;Труба боковой стенки - вертикальная верхняя;Труба 60х40х3 L=380 ;2
К-4-03.000;Стенка задняя;;1
К-4-03.001;Лист задней стенки - нижний;Лист 3х1500х1703  ;1
К-4-03.002;Лист задней стенки - верхний;Лист 3х150х870  ;1
К-4-00.005;Труюа торцевых стенок;Труба 60х40х3 L=1783 ;3
К-4-00.006;Заглушка;Лист 3х35х55  ;6
К-4-04.000;Стенка передняя;;1
К-4-04.001;Лист передней стенки - нижний;Лист 3х1080х1703  ;1
К-4-04.002;Лист передней стенки - верхний;Лист 3х555х1703  ;1
К-4-00.007;Труба переднего захвата;Труба 48х3,8 L=2000 ;1
К-4-00.008;Полоса переднего захвата;Лист 4х50х1783  ;1
К-4-00.009;Труба передней стенки - верхняя;Труба 60х40х3 L=495 ;2
К-4-00.010;Труба передней стенки - нижняя;Труба 60х40х3 L=1055 ;2
К-4-05.000;Крыша;;1
К-4-05.001;Лист крыши;Лист 3х300х1821  ;2
К-4-05.002;Конек;Лист 3х269х580  ;1
К-4-05.003;Лист крыши;Лист 3х74х580  ;2
К-4-05.004;Труба крыши;Труба 40х40х2 L=913 ;6
К-4-00.001;Проушина;Лист 10х100х190  ;2
К-4-06.000;Палец;;4
К-4-06.001;Труба пальца;Труба 48х3,8 L=85 ;1
К-4-06.002;Заглушка пальца;Лист 4х100х100  ;1
К-4-00.002;Стопор пальца;Лист 6х70х90  ;4
К-4-00.003;Ребро переднего захвата;Лист 6х50х50  ;2
К-4-00.004;Усилитель переднего захвата;Круг 40 L=250 ;2

